PERMNO,DATE,n,RET,alpha,b_mkt,b_smb,b_hml,ivol,tvol,R2,exret,TICKER
27959,20180206,252,-1.74%,-0.0002,0.0671,-0.3763,-0.206,0.67%,0.70%,8.06%,-2.21%,DUK
27959,20180207,252,-0.12%,-0.0002,0.0657,-0.3741,-0.205,0.67%,0.70%,8.01%,0.14%,DUK
27959,20180208,252,-0.11%,-0.0002,0.0395,-0.3554,-0.1911,0.67%,0.69%,7.59%,0.54%,DUK
27959,20180209,252,2.40%,-0.0001,0.0785,-0.378,-0.1851,0.68%,0.71%,7.89%,2.14%,DUK
27959,20180212,252,0.93%,-0.0001,0.0864,-0.3892,-0.1888,0.68%,0.71%,8.36%,0.60%,DUK
27959,20180213,252,0.35%,-0.0001,0.0838,-0.3837,-0.1945,0.68%,0.71%,8.32%,0.30%,DUK
27959,20180214,252,-2.08%,-0.0002,0.0587,-0.3907,-0.204,0.69%,0.72%,8.47%,-2.02%,DUK
27959,20180215,252,2.13%,-0.0001,0.0849,-0.3964,-0.229,0.70%,0.73%,9.01%,1.87%,DUK
27959,20180216,252,0.66%,-0.0002,0.0888,-0.3813,-0.228,0.68%,0.71%,9.05%,0.82%,DUK
27959,20180220,252,-1.32%,-0.0002,0.099,-0.3737,-0.2319,0.68%,0.71%,8.87%,-1.46%,DUK
27959,20180221,252,-0.48%,-0.0002,0.0946,-0.3733,-0.2346,0.68%,0.71%,9.06%,-0.10%,DUK
27959,20180222,252,0.28%,-0.0003,0.0957,-0.3666,-0.2389,0.68%,0.71%,9.02%,0.20%,DUK
27959,20180223,252,2.22%,-0.0003,0.1268,-0.3708,-0.2494,0.68%,0.72%,9.52%,1.91%,DUK
27959,20180226,252,0.91%,-0.0003,0.1324,-0.3806,-0.2318,0.68%,0.72%,9.57%,0.56%,DUK
27959,20180227,252,-2.04%,-0.0004,0.1568,-0.3806,-0.2347,0.69%,0.73%,9.67%,-1.95%,DUK
27959,20180228,252,-1.30%,-0.0005,0.1714,-0.3617,-0.2336,0.70%,0.73%,9.20%,-1.35%,DUK
27959,20180301,252,0.29%,-0.0004,0.1672,-0.3389,-0.227,0.70%,0.73%,8.63%,0.85%,DUK
27959,20180302,252,-0.28%,-0.0004,0.1687,-0.3385,-0.2219,0.70%,0.73%,8.54%,-0.12%,DUK
27959,20180305,252,2.84%,-0.0003,0.1957,-0.366,-0.2062,0.71%,0.75%,9.10%,2.58%,DUK
27959,20180306,252,-2.10%,-0.0004,0.1923,-0.3896,-0.2079,0.72%,0.76%,9.44%,-1.92%,DUK
27959,20180307,252,-0.80%,-0.0004,0.1922,-0.3999,-0.2029,0.72%,0.76%,9.63%,-0.60%,DUK
27959,20180308,252,0.98%,-0.0003,0.1908,-0.4065,-0.2318,0.72%,0.76%,10.52%,0.65%,DUK
27959,20180309,252,0.18%,-0.0003,0.1885,-0.4099,-0.2345,0.72%,0.76%,10.68%,-0.19%,DUK
27959,20180312,252,0.55%,-0.0002,0.1852,-0.4041,-0.2303,0.72%,0.76%,10.39%,0.74%,DUK
27959,20180313,252,-0.10%,-0.0003,0.1847,-0.4063,-0.2299,0.72%,0.76%,10.45%,0.05%,DUK
27959,20180314,252,0.69%,-0.0002,0.1802,-0.4014,-0.2373,0.72%,0.76%,10.33%,0.76%,DUK
27959,20180315,252,-0.34%,-0.0003,0.1713,-0.4184,-0.2274,0.71%,0.75%,10.59%,-0.40%,DUK
27959,20180316,252,1.11%,-0.0002,0.1722,-0.4059,-0.2227,0.72%,0.76%,10.04%,1.30%,DUK
27959,20180319,252,-0.71%,-0.0003,0.1763,-0.4138,-0.2218,0.72%,0.76%,10.45%,-0.24%,DUK
27959,20180320,252,-0.79%,-0.0003,0.173,-0.4129,-0.2277,0.72%,0.76%,10.47%,-0.93%,DUK
27959,20180321,252,-0.33%,-0.0003,0.1914,-0.3781,-0.2134,0.71%,0.75%,9.87%,0.09%,DUK
27959,20180322,252,0.01%,-0.0003,0.1774,-0.3713,-0.2197,0.71%,0.75%,9.62%,0.58%,DUK
27959,20180323,252,-1.34%,-0.0003,0.1943,-0.3802,-0.2196,0.71%,0.75%,10.24%,-0.94%,DUK
27959,20180326,252,1.00%,-0.0004,0.1997,-0.3848,-0.2179,0.71%,0.75%,10.87%,0.21%,DUK
27959,20180327,252,1.55%,-0.0003,0.1706,-0.3923,-0.2035,0.72%,0.76%,9.84%,1.91%,DUK
